event_date,weather_condition,location,country,latitude,longitude,make,model,purpose_of_flight,broad_phase_of_flight,amateur_built,registration_number,engine_type1,injury_severity,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,people_on_board,pilot_type,no_of_engines1
 01/11/2019 ,vmc,"Belen, NM", United States , 34.618889 , -106.832778 ,bell,47,personal,maneuvering,no, N3755Z ,reciprocating,non-fatal,0,0,0,2,2,private,1
 01/08/2019 ,vmc,"Uvalde, TX", United States , 29.210278 , -99.743055 ,robinson,r44,instructional,takeoff,no, N484AB ,reciprocating,non-fatal,0,0,1,1,2,instructional,1
 01/03/2019 ,vmc,"Grace, ID", United States , 42.461944 , -111.702222 ,robinson,r44,personal,maneuvering,no, N4246Z ,reciprocating,non-fatal,0,0,0,1,1,private,1
 01/02/2019 ,unknown,"Santa Maria Island, FL", United States , 27.483334 , -82.733334 ,robinson,r44,unknown,unknown,no, N772MG ,reciprocating,np.nan,0,0,0,0,0,unknown,1
 01/01/2019 ,vmc,"Ubatuba, Brazil", Brazil , -23.458056 , -45.063056 ,robinson,r44,aerial observation,cruise,no,,reciprocating,fatal(1),1,0,3,0,4,professional,1
 12/28/2018 ,vmc,"Hayward, CA", United States , 37.663889 , -122.128056 ,robinson,r22,instructional,maneuvering,no, N8319T ,reciprocating,non-fatal,0,0,0,2,2,instructional,1
 12/24/2018 ,vmc,"Santa Maria Coronango, State of Puebla, Mexico", Mexico , 19.138055 , -98.325278 ,agusta,aw109,personal,unknown,no,,turbine,fatal(5),5,0,0,0,5,private,1
 12/24/2018 ,unknown,"Strum, WI", United States ,44.5524813,-91.3923415,eurocopter,bk117,unknown,unknown,no, N145SM ,turbine,np.nan,0,0,0,0,0,unknown,2
 12/18/2018 ,vmc,"Strykersville, NY", United States , 42.768889 , -78.461111 ,robinson,r44,personal,unknown,no, N7535S ,reciprocating,non-fatal,0,0,0,2,2,private,1
 12/17/2018 ,unknown,"Strykersville, NY", United States , 42.751944 , -78.461389 ,robinson,r44,personal,unknown,no, N7535S ,reciprocating,non-fatal,0,0,0,2,2,private,1
